PAÍS,POTE,CONTINENTE
Brasil,1,CONMEBOL
Bélgica,1,UEFA
França,1,UEFA
Argentina,1,CONMEBOL
Inglaterra,1,UEFA
Espanha,1,UEFA
Portugal,1,UEFA
México,2,CONCACAF
Holanda,2,UEFA
Dinamarca,2,UEFA
Alemanha,2,UEFA
Uruguai,2,CONMEBOL
Suíça,2,UEFA
Estados Unidos,2,CONCACAF
Croácia,2,UEFA
Senegal,3,CAF
Irã,3,AFC
Japão,3,AFC
Marrocos,3,CAF
Sérvia,3,UEFA
Polônia,3,UEFA
Coreia do Sul,3,AFC
Tunísia,3,CAF
Camarões,4,CAF
Canadá,4,CONCACAF
Equador,4,CONMEBOL
Arábia Saudita,4,AFC
Gana,4,CAF
País de Gales,4,UEFA
Austrália,4,AFC
Costa Rica,4,CONCACAF
